station,date,tobs,precipitation
USC00519397,2010-01-01,65,0.08
USC00519397,2010-01-02,63,0.0
USC00519397,2010-01-03,74,0.0
USC00519397,2010-01-04,76,0.0
USC00519397,2010-01-06,73,0.0
USC00519397,2010-01-07,70,0.06
USC00519397,2010-01-08,64,0.0
USC00519397,2010-01-09,68,0.0
USC00519397,2010-01-10,73,0.0
USC00519397,2010-01-11,64,0.01
USC00519397,2010-01-12,61,0.0
USC00519397,2010-01-14,66,0.0
USC00519397,2010-01-15,65,0.0
USC00519397,2010-01-16,68,0.0
USC00519397,2010-01-17,64,0.0
USC00519397,2010-01-18,72,0.0
USC00519397,2010-01-19,66,0.0
USC00519397,2010-01-20,66,0.0
USC00519397,2010-01-21,69,0.0
USC00519397,2010-01-22,67,0.0
USC00519397,2010-01-23,67,0.0
USC00519397,2010-01-24,71,0.01
USC00519397,2010-01-25,67,0.0
USC00519397,2010-01-26,76,0.04
USC00519397,2010-01-27,68,0.12
USC00519397,2010-01-28,72,0.0
USC00519397,2010-01-30,70,0.0
USC00519397,2010-01-31,67,0.03
USC00519397,2010-02-01,66,0.01
USC00519397,2010-02-03,67,0.0
USC00519397,2010-02-04,69,0.01
USC00519397,2010-02-05,67,0.0
USC00519397,2010-02-06,67,0.0
USC00519397,2010-02-07,64,0.0
USC00519397,2010-02-08,69,0.0
USC00519397,2010-02-09,73,0.0
USC00519397,2010-02-11,73,0.0
USC00519397,2010-02-12,69,0.02
USC00519397,2010-02-13,69,0.01
USC00519397,2010-02-14,69,0.0
USC00519397,2010-02-15,71,0.0
USC00519397,2010-02-16,61,0.0
USC00519397,2010-02-17,69,0.0
USC00519397,2010-02-19,63,0.0
USC00519397,2010-02-20,64,0.03
USC00519397,2010-02-21,65,0.0
USC00519397,2010-02-22,67,0.0
USC00519397,2010-02-23,68,0.0
USC00519397,2010-02-24,65,0.0
USC00519397,2010-02-25,76,0.0
USC00519397,2010-02-26,75,0.0
USC00519397,2010-02-28,66,0.0
USC00519397,2010-03-01,70,0.01
USC00519397,2010-03-02,72,0.0
USC00519397,2010-03-03,73,0.0
USC00519397,2010-03-04,70,0.12
USC00519397,2010-03-05,71,0.08
USC00519397,2010-03-06,72,0.03
USC00519397,2010-03-07,72,0.0
USC00519397,2010-03-08,69,0.43
USC00519397,2010-03-09,70,0.06
USC00519397,2010-03-11,73,0.0
USC00519397,2010-03-12,72,0.0
USC00519397,2010-03-13,73,0.0
USC00519397,2010-03-14,70,0.0
USC00519397,2010-03-15,71,0.06
USC00519397,2010-03-17,68,0.0
USC00519397,2010-03-18,70,0.0
USC00519397,2010-03-21,72,0.0
USC00519397,2010-03-22,69,0.0
USC00519397,2010-03-23,68,0.0
USC00519397,2010-03-24,74,0.0
USC00519397,2010-03-26,72,0.0
USC00519397,2010-03-27,72,0.0
USC00519397,2010-03-28,73,0.0
USC00519397,2010-03-29,74,0.0
USC00519397,2010-03-30,73,0.0
USC00519397,2010-03-31,73,0.0
USC00519397,2010-04-01,74,0.0
USC00519397,2010-04-02,74,0.01
USC00519397,2010-04-03,74,0.17
USC00519397,2010-04-04,71,0.15
USC00519397,2010-04-05,72,0.27
USC00519397,2010-04-06,75,0.01
USC00519397,2010-04-08,75,0.0
USC00519397,2010-04-09,75,0.01
USC00519397,2010-04-10,75,0.0
USC00519397,2010-04-11,73,0.01
USC00519397,2010-04-12,73,0.01
USC00519397,2010-04-13,71,0.0
USC00519397,2010-04-15,71,0.0
USC00519397,2010-04-16,68,0.01
USC00519397,2010-04-17,70,0.0
USC00519397,2010-04-18,71,0.0
USC00519397,2010-04-19,74,0.0
USC00519397,2010-04-20,71,0.04
USC00519397,2010-04-21,75,0.01
USC00519397,2010-04-22,76,0.0
USC00519397,2010-04-23,75,0.02
USC00519397,2010-04-24,75,0.0
USC00519397,2010-04-25,76,0.0
USC00519397,2010-04-26,76,0.0
USC00519397,2010-04-28,76,0.0
USC00519397,2010-04-30,77,0.0
USC00519397,2010-05-01,77,0.0
USC00519397,2010-05-02,73,0.03
USC00519397,2010-05-03,74,0.2
USC00519397,2010-05-04,76,0.08
USC00519397,2010-05-05,76,0.01
USC00519397,2010-05-06,80,0.0
USC00519397,2010-05-07,74,0.05
USC00519397,2010-05-08,77,0.0
USC00519397,2010-05-09,77,0.0
USC00519397,2010-05-10,76,0.0
USC00519397,2010-05-11,77,0.0
USC00519397,2010-05-13,78,0.0
USC00519397,2010-05-14,78,0.0
USC00519397,2010-05-15,75,0.0
USC00519397,2010-05-16,73,0.03
USC00519397,2010-05-17,77,0.0
USC00519397,2010-05-18,76,0.0
USC00519397,2010-05-19,77,0.0
USC00519397,2010-05-21,77,0.0
USC00519397,2010-05-22,78,0.0
USC00519397,2010-05-23,75,0.05
USC00519397,2010-05-24,77,0.0
USC00519397,2010-05-25,77,0.0
USC00519397,2010-05-26,77,0.02
USC00519397,2010-05-27,76,0.0
USC00519397,2010-05-28,75,0.0
USC00519397,2010-05-29,77,0.0
USC00519397,2010-05-30,77,0.0
USC00519397,2010-05-31,77,0.0
USC00519397,2010-06-01,78,0.0
USC00519397,2010-06-02,76,0.01
USC00519397,2010-06-03,78,0.0
USC00519397,2010-06-04,76,0.0
USC00519397,2010-06-05,77,0.0
USC00519397,2010-06-06,78,0.0
USC00519397,2010-06-07,77,0.0
USC00519397,2010-06-08,78,0.0
USC00519397,2010-06-09,78,0.0
USC00519397,2010-06-10,79,0.0
USC00519397,2010-06-11,78,0.0
USC00519397,2010-06-12,78,0.0
USC00519397,2010-06-13,78,0.0
USC00519397,2010-06-14,77,0.0
USC00519397,2010-06-15,78,0.0
USC00519397,2010-06-16,78,0.0
USC00519397,2010-06-17,77,0.0
USC00519397,2010-06-18,77,0.0
USC00519397,2010-06-19,82,0.0
USC00519397,2010-06-20,78,0.0
USC00519397,2010-06-21,78,0.0
USC00519397,2010-06-22,78,0.0
USC00519397,2010-06-23,78,0.0
USC00519397,2010-06-24,78,0.0
USC00519397,2010-06-25,77,0.0
USC00519397,2010-06-26,76,0.02
USC00519397,2010-06-27,78,0.0
USC00519397,2010-06-28,78,0.0
USC00519397,2010-06-29,78,0.0
USC00519397,2010-06-30,78,0.0
USC00519397,2010-07-01,75,0.01
USC00519397,2010-07-02,77,0.05
USC00519397,2010-07-03,77,0.09
USC00519397,2010-07-04,78,0.05
USC00519397,2010-07-05,78,0.06
USC00519397,2010-07-06,76,0.08
USC00519397,2010-07-07,74,0.08
USC00519397,2010-07-08,76,0.03
USC00519397,2010-07-09,74,0.06
USC00519397,2010-07-10,76,0.09
USC00519397,2010-07-11,78,0.0
USC00519397,2010-07-12,77,0.0
USC00519397,2010-07-13,80,0.0
USC00519397,2010-07-16,78,0.0
USC00519397,2010-07-17,76,0.02
USC00519397,2010-07-18,77,0.0
USC00519397,2010-07-19,77,0.04
USC00519397,2010-07-21,80,0.0
USC00519397,2010-07-22,78,0.0
USC00519397,2010-07-24,80,0.0
USC00519397,2010-07-25,79,0.0
USC00519397,2010-07-26,78,0.0
USC00519397,2010-07-27,79,0.0
USC00519397,2010-07-28,78,0.0
USC00519397,2010-07-29,79,0.0
USC00519397,2010-07-30,78,0.0
USC00519397,2010-07-31,77,0.02
USC00519397,2010-08-01,77,0.04
USC00519397,2010-08-02,76,0.01
USC00519397,2010-08-03,77,0.02
USC00519397,2010-08-04,77,0.07
USC00519397,2010-08-05,75,0.08
USC00519397,2010-08-06,75,0.03
USC00519397,2010-08-07,80,0.0
USC00519397,2010-08-08,77,0.0
USC00519397,2010-08-09,78,0.0
USC00519397,2010-08-10,78,0.0
USC00519397,2010-08-11,77,0.0
USC00519397,2010-08-12,76,0.0
USC00519397,2010-08-13,78,0.0
USC00519397,2010-08-14,78,0.0
USC00519397,2010-08-15,76,0.01
USC00519397,2010-08-16,76,0.0
USC00519397,2010-08-17,74,0.05
USC00519397,2010-08-18,77,0.0
USC00519397,2010-08-19,79,0.0
USC00519397,2010-08-20,79,0.0
USC00519397,2010-08-21,79,0.0
USC00519397,2010-08-22,75,0.0
USC00519397,2010-08-23,87,0.01
USC00519397,2010-08-24,78,0.0
USC00519397,2010-08-25,76,0.04
USC00519397,2010-08-26,78,0.03
USC00519397,2010-08-27,78,0.0
USC00519397,2010-08-28,79,0.04
USC00519397,2010-08-29,78,0.0
USC00519397,2010-08-30,78,0.0
USC00519397,2010-08-31,80,0.0
USC00519397,2010-09-01,77,0.0
USC00519397,2010-09-02,76,0.02
USC00519397,2010-09-03,78,0.04
USC00519397,2010-09-04,77,0.01
USC00519397,2010-09-05,77,0.0
USC00519397,2010-09-06,77,0.0
USC00519397,2010-09-07,76,0.06
USC00519397,2010-09-08,78,0.0
USC00519397,2010-09-09,78,0.0
USC00519397,2010-09-10,78,0.0
USC00519397,2010-09-11,78,0.05
USC00519397,2010-09-12,74,0.0
